name,phone,place,contact_person,type,email
COOPECA,08417903/03082183/08420466/08504707,Gasaka,N.A,MFI,None
CAPEC NYAMAGABE,55103030,Gasaka,N.A,MFI,capecnyamagabe@yahoo.fr
CMF DUSARANGANYE,03558209/55113425,Muganza,N.A,MFI,nijeba@yahoo.fr
CMF ICYEREKEZO,03178063/08812459,Nyakabuye,N.A,MFI,None
UNION DES CMF UMURIMO,0788409306,Kamembe,N.A,MFI,None
CLECAM EJOHEZA KABAGARI,08626690/08752133,Bweramana,N.A,MFI,None
CLECAM EJOHEZA RUYUMBA,08877860/08797488,Nyamiyaga,N.A,MFI,None
CLECAM EJOHEZA NTONGWE,08423131/ 08547730,Ntongwe,N.A,MFI,None
CLECAM EJOHEZA MUSHISHIRO,03392430/ 03282125,Mushishiro,N.A,MFI,None
CLECAM EJOHEZA  NTENYO,03230334/ 03391518,BYIMANA,N.A,MFI,None
CLECAM EJOHEZA NDIZA,03280464/ 08815223,Kiyumba,N.A,MFI,None
CLECAM - EJOHEZA RUHANGO,0788770080,Ruhango,N.A,MFI,izabibona@yahoo.fr
COOPEC EBENEZER UMUCYO,0788772420/0788303315,Muhima,N.A,MFI,None
AMASEZERANO COMMUNITY BAKING SA,05402864,Kicukiro,N.A,MFI,Non
COOPEC INKUNGA KARONGI,0788754448,Rubengera,N.A,MFI,None
CT KARONGI,0788555799,Bwishyura,N.A,MFI,None
CAPEC BWISHYURA,0788615641,BWISHYURA,N.A,MFI,n
CAPEC RUBENGERA,08777656,Rubengera,N.A,MFI,None
COPECYA,None,CYABINGO,N.A,MFI,None
UMUTANGUHA  VUNGA,05132744,Shyira,N.A,MFI,None
CT MUGAMBAZI,08581522/08459248,Murambi,N.A,MFI,None
CT MUSANZE,08590816,Muhoza,N.A,MFI,None
CLECAM GISENYI,08569389/08540753,Gisenyi,N.A,MFI,None
CLECAM MUSANZE,08648058/08744831,Muhoza,N.A,MFI,None
CLECAM GASEKE,0788459826/07831317,Kabaya,Ntawunezerubanda  Innocent,MFI,decamgaseke@yahoo.fr
CLECAM IBAKWE,None,Bigogwe,"MUNYANKUMBURWA Innocent ,President du Conseil, : 025516731/0788498455",MFI,saccibakwe@yahoo.fr
UMUTANGUHA MAHOKO,07884941/05132610,Kanama,N.A,MFI,None
COMICOKA,0788467206,Kanama,N.A,MFI,None
CLECAM WISIGARA BIRUYI,0788824962,Mushonyi,PCA,MFI,clecambiruyi@yahoo.fr
CLECAM KAVOYE,0788456357/055108760,Ruhango,KARIMUNDA Anastase,MFI,clecamkayove @yahoo.fr
CT GISENYI,03042188/540062,Gisenyi,N.A,MFI,None
CLECAM NYAMYUMBA,0788451712/55113423,Nyamyumba,N.A,MFI,None
CLECAM ZAMUKA,0788408542,Kanama,BIZEYIMANA  J.M.V  GERANT,MFI,None
CEA BURERA,0788413227/546320,Nemba,N.A,MFI,None
CEA RUBAVU,0788514898/546320,Gisenyi,N.A,MFI,None
CEA MUSANZE,0788514898,Muhoza,RAFIKI Evariste  Gerant,MFI,None
INGASHYA KARENGE,0788767662,Karenge,N.A,MFI,agakam10@yahoo.fr
INZIRA RUSUMO,0788828037,KIGINA,N.A,MFI,N
CT KABUGA,0788893199,Rusororo,N.A,MFI,ctkabuga@yahoo.fr
CT MURAMBI,0788558435/0788782883,Kiramuruzi,N.A,MFI,ctmurambi@gmail.com
URUKUNDO KIRAMURUZI,0788627931,Kiramuruzi,N.A,MFI,None
TWITEZIMBERE,None,Nyabimata,N.A,MFI,None
COOPEC BYARUMANA,None,Ndera,N.A,MFI,None
UMUTANGUHA KABAYA,0788787278,Kabaya,SEBISHYIMBO Paulin,MFI,cukabaya04@yahoo.fr
COOPEC ZAMUKA,0785193516,Niboye,UWERA M.Aim?e   Gerante,MFI,coopeczamuka@yahoo.fr
UMWARIMU SACCOO,0788302393,Kimironko,MUSERUKA Joseph  Managing Director,MFI,sacco_umwarimu@yahoo.com
CLECAM BUKONYA,0788848639,Janja Sector,"Hakizimuremyi Felicien, President du conseil d'administration",MFI,cleclamja2008@yahoo.fr
URWEGO OPPORTUNITY BANK,0788303957,Nyarugenge,Faustin Zihiga-0788306518,SA,info@uob.rw
VISION FINANCE COMPANY SA,0788304198,Muhima,SHEM KAKEMBO DG,SA,shem_kakembo@wvi.org
AL HALAAL,0788844984,Nyarugenge,KALUME ZAM ZAM,SA,None
DUTERIMBERE,0788305651,Muhima,NGAMIJE Delphin,SA,dut_imf@rwqnda1.com
GOSHEN,0788309214,Nyarugenge,DG :NZAKAMWITA  Jean,SA,mnzaka@yahoo.fr
SWOFT,0788623177/05125510,Gitega,N.A,SA,swoft2002@yahoo.com
INKINGI,0788683299,Muhima,J.Berchmas MINEGA   Direct Op,SA,mfinkingi@yahoo.fr
CFE AGASEKE,0788307456,Remera,Festus GASIGWA  DG,SA,CFE@rwanda1.com
RIM,0788306384,Muhima,Diane UWIMBABAZI  DG,SA,rimsa@rwanda1.com
IMF UNGUKA,0788308210/584374,Kimironko,Faustin BYAKUNDA DG,SA,imfungukasa@yahoo.fr
CAF Isonga,,"Sector Nyamabuye, District of Muhanga, Southern Province",TWAHIRWA Florent  PCA,SA,caf_isonga@yahoo.fr
RMFL,0788304077,Nyarugenge,N.A,SARL,imf@rml.co.rw
UCEA MUSANZE,0788753592,Muhoza,SEBAZUNGU Alphonse  DIRECTEUR,Unions,ucoopeccea@yahoo.fr
UNION DES CLECAMU WISIGARA,0783480952,Gisenyi,NDATURANIWE Ildephonse      Directeur,Unions,uclecam@yahoo.fr
