name,url,country,source,contact,address,type,id
Micro Africa Limited,http://microafricagroup.com/,Kenya,Direct Website,"Tel: +254 20 386 1681 - 4,Fax: +254 20 386 80,","Cape Office Park,2nd Floor, Ring Road, Kilimani,Opposite Yaya Centre,P.O Box 52926 - 00200",MFI,28
Micro Enterprises Support Fund(MESPT ),info@mespt.org,Kenya,Direct Website,,,MFI,29
Microensure Advisory Services,,Kenya,Direct Website,"Tel: 020 - 2221074,kate.waiganjo@microensure.com,","Hughes Building, Kenyatta Avenue, 8th Floor,P.O Box 13383 - 00100, Nairobi",MFI,30
Molyn Credit Limited,www.molyn.co.ke,Kenya,Direct Website,"Tel: 020 - 310726,Cell: 0715 172622 / 0735 461781,","Bruce House, 9th Floor, Standard Street,P.O Box 10144 - 00100, Nairobi, Kenya",MFI,31
Muramati SACCO Society Ltd,www.muramatisacco.co.ke,Kenya,Direct Website,"Tel: 060 2030273 Fax: 060 2030058,info@muramatisacco.co.ke,","Muramati Building, Hospital Road,Murang&#39;a,P.O Box 1145 - 10200,Murang&#39;a, Kenya.",MFI,32
Musoni,www.musoni.eu,Kenya,Direct Website,,"Cape Office Park,Along Ring Road Kilimani, Opposite Yaya Centre,P.O. Box 25351-00100<",MFI,33
Oikocredit,www.oikocredit.org,Kenya,Direct Website,,"Methodist Ministries centre, Oloitoktok Rd.,2nd Floor,P. O. Box 30328-00100,Nairobi, Kenya,",MFI,34
One Africa Capital Limited,,Kenya,Direct Website,"Tel: 254 726 376 293,Fax: 254 20 2210260,oneafrica.microfin@yahoo.co.uk,,","Koinange Street, Ratansi Educational Trust Building, 2nd Floor,,P.O Box 74093 - 00200",MFI,35
Opportunity International,www.opportunity.org,Kenya,Direct Website,Tel: 2720159&#160;&#160;&#160;&#160;&#160;,"Geomaps Centre, 1st Floor, Matumbato Rd. ,Upperhill,P.O Box 19497 - 00202",MFI,36
Pamoja Women Development Programme (PAWDEP),www.pawdep.org,Kenya,Direct Website,"Tel: 066 - 22205,info@pawdep.org,","Kikinga House, Ground Floor, Kiambu,P.O Box 2472 - 00100",MFI,37
Platinum Credit Limited,www.platinumcredit.co.ke,Kenya,Direct Website,,,MFI,38
Rafiki Deposit Taking Microfinance Ltd,,Kenya,Direct Website,"Tel: 020 - 2774000,info@chasebank.co.ke,","Central Office.Riverside,P.O BOX 66049 - 00800",MFI,39
Remu DTM Limited,,Kenya,Direct Website,"Tel: 254 20 2214483,lydia.kibaara@remultd.co.ke,","Finance House, 14th Floor, Loita Street,P.O Box 20833 - 00100, Nairobi",MFI,40
Renewable Energy Technology Assistance Programme (RETAP),www.retap-africa.org,Kenya,Direct Website,"Mobile: 0722 520031 / 020 354592,Tel: 020 3002344 / 2033867 / 4454306,","Westlands, Waumini House,Eastern Wing, 1st Floor,,P.O Box 28201 - 00200, Nairobi Kenya",MFI,41
Rupia Limited,,Kenya,Direct Website,"Tel: 020 - 2251389 / 2229178,","View Park Towers, 10th Floor,P.O Box 2987 - 00200, Nairobi",MFI,42
Select Management Services Limited,,Kenya,Direct Website,"Tel: 254 20 2735229,Fax: 254 20 2731162,info@selectafrica.net,,","Kenya Re Towers, off. Ragati Road,P.O Box 27639 - 00506, Nairobi.",MFI,43
SISDO,www.sisdo.org,Kenya,Direct Website,"Tel : 3870280, Fax: 3871531,","Ngong Lane, off Ngong Road,P.O BOX 76622-00508 NAIROBI",MFI,44
SMEP DTM Limited,,Kenya,Direct Website,"Tel:3870162/3861927,Fax:3870191,www.smep.co.ke,","Kirichwa Road Off Argwings Kodhek Road,P.O BOX 64063 NAIROBI",MFI,45
Sumac Credit Ltd,info@sumacredit.co.ke,Kenya,Direct Website,,,MFI,46
Swiss Contact,www.swisscontact.co.ke,Kenya,Direct Website,"Fax: 4445315,","Westlands,Vanguard House, 6th Floor,,P.o Box 47996,00100,,Nairobi., Tel: 4445284",MFI,47
Taifa Option Microfinance,,Kenya,Direct Website,"Tel: 067-5855169,Fax: 067-5854016,Cellphone: 0725-315978 / 0724-705854,taifaoption@yahoo.com,",P.O Box 727 - Ruiru Kenya,MFI,48
U & I Microfinance  Limited,,Kenya,Direct Website,"Tel: 020 - 2367388 / 0713 112791,info@uni-microfinance.co.ke,","Arrow House, Koinange street, Nairobi,P.O Box 15825 - 00100",MFI,49
Women Enterprise Fund,,Kenya,Direct Website,,,MFI,50
Yehu Microfinance Trust,,Kenya,Direct Website,"Tel: + 254-41-2492589/98,yehumfi@africaonline.co.ke,","Head Office - Mombasa - Coast Province,Off Tom Mboya Avenue - Buxton,P.O Box 82120-80100 Mombasa, Kenya",MFI,51
