Fax,Tel,loc2,Manager,loc1,Address
018 7714066,018 7714066,FOCHVILLE CENTRAL,SM LOMBARD,POTCHEFSTROOM,19 PROTEA STREET
031-332 2987,031-337 2114,MARINE PARADE,Daniel Mkhwanazi,PORT NATAL,"19 Seaview Street,Central Beach, Durban, 4001"
015 5564225,015 5563116,Elim Hospital,THANDIE KHOSA,THOHOYANDOU,1915A Watervall
034 9814414,034 - 9814411,VRYHEID,WILLEM WEITSZ,NORTHERN NATAL,194 CHURCHSTREET VRYHEID
015-3451563,015-3451563,LETSITELE,MNISIVS,PIETERSBURG,1ST AVENUE
013-6963181,013-2971107,Rietkuil,Vancant,WITBANK,1St Street
021-6963673,021-6971201,Athlone,Sikimbuzo Mashiqana,PENINSULA,"2 Lawrence RD, ATHLONE, 7764"
051-5831132,051-5831132,WEPENER,M P MOLEBATSI,BLOEMFONTEIN,20 DE BEER STREET
041-4532582,041-4511362,KORSTEN,Edgar C.,PORT ELIZABETH,"20 Essex Street, Korsten"
035-5620018,035-5620018,HLUHLUWE,Sma Nzama,ZULULAND,20 Main Street
028-2141130,028-214 1228,Caledon,Dirk Hannekom,OVERERG,20 Plein Street Caledon
056-2125556,056-2124111,Kroonstad,George Rampou,BETHLEHEM,"20 Reitz Street, Kroonstad"
018-683 0546,018-6830096,SANNIESHOF,STEPHEN GASERUTWE,VRYBURG,20 SLABBERT STREET
045-9321737,045-9321058,MACLEAR,A.MARTENS,UMTATA,20 VAN RIEBEECK ST
017 - 793 3021,017 -793 3021,MORGENZON,ELNA VD WATH,SECUNDA,200 STEIN STR
012-7142391,012-7140820,Makapanstad,Regina Serekonyane,POTGIETERSRUS,2021 Moshate Section
056-5156019,056-5156019,KHOTSONG,VACANT,POTCHEFSTROOM,2053 KHOTSONG
012-7994980,012-7972201,SOSHANGUVE,MB Masombuka,PRETORIA,2078 Block H Soshanguve
040-6470018,040-6470200,ILITHA,S. Sokujika(Acting),EAST LONDON,209 ILITHA STREET ILITHA TOWNSHIP
039-2550404,039-2550109,MOUNT FRERE,C.N.NDAMASE,UMTATA,209 MAIN ST
021-876-2331,021-876-2342,Franschhoek,Anneline Lamprecht,OVERERG,21 Huguenite Road Franschhoek
018-596 1807,018-5961201,WOLMARANSSTAD,MOSES MOOKI,VRYBURG,21 KRUGER STREET
058-8632555,058-8632555,Reitz,Hannatjie Naudé,BETHLEHEM,"21 Pres CR Swart Street, Reitz"
028-2713100,028-271-3100,Kleinmond,Rehan Eygelaar,OVERERG,21 Third Street Kleinmond
053-3310009,053-3310009,OLIFANTSHOEK,Magda Human,UPINGTON,21 Van Riebeeckstr.
031-7771247,031-7771705,BOTHA'S HILL,Denys Rogers,HIGHWAY,215 Old Main Road Bothas Hill
-,031-4009736,LAMONTVILLE,Maria Mkhabela,HIGHWAY,22 Mhlongo Road
013-2560084,013-2560084,Machadodorp,Vacant,NELSPRUIT,22 Potgieter Street Machadodorp
033-3453799,033-3455880,PIETERMARITZBURG,Steven Nxumalo,MIDLANDS,"220 Langalabilele Street, Pietermaritzburg, 3201"
053-2981834,053-2981834,DOUGLAS,ESTELLERAMAROU,KIMBERLY,22ARNOT STREET  DOUGLAS
053-4412057,053-4412100,CHRISTIANA,JOHANROODT,KIMBERLY,22PRETORIUS  STREET  CHRISTIANA
051-763 0448,051-7630050,BETHULIE,VACANT,KIMBERLY,23 JOUBERTONSTREET
035-5804221,035-5804221,KWAMBONAMBI,Rika Matthee,ZULULAND,23 Regia Street
031-9022837,031-9022837,ISIPINGO BEACH,Mervyn Govender,HIGHWAY,"23 The Avenues East, Isipingo Beach"
013-6655330,013-6652525,Delmas,George Moulder,WITBANK,23 Third str
039-2570207,039-2570031/40,MT FLETCHER,N.N.MPHITHI,UMTATA,231 MAIN ST
015-4830128,015-4830108,Mahwelereng,Dawie Venter,POTGIETERSRUS,2366 Zone A
058-8210151,058-8210151,Villiers,Portia Swelankomo,BETHLEHEM,"24 Pieter Street, Villiers"
018 363 3552,018 3633333,LERATO,PO KATAMETSI,POTCHEFSTROOM,2421 MOLOTO STREET LERATO
012-5655225,012-5466526,PRETORIA NORTH,HJ de Jager,PRETORIA,247 Ben Viljoen Road Pretoria North
053-531 0997,053-5310677,BARKLEY WEST,HENRY BAATJIES,KIMBERLY,"25 CAMPBELL STREET,BARKLY WEST"
023 2311972,023 2310310,Wolseley,Bedelia Cedras,WEST COAST,25 EEUFEES ROAD
051-6830040,051-6830040,SMITHFIELD,N P MAKAPELA,BLOEMFONTEIN,25 GEN. HERTZOG STREET
031-337 4071,031-337 4071,POINT,Hamilton Phewa,PORT NATAL,"252 Point Rod, Durban, 4001"
041-5860710,041-5084039,PORT ELIZABETH,Verhoog C.,PORT ELIZABETH,259 Govan Mbeki Ave
051-7730082,051-7730082,PHILIPPOLIS,VACANT,KIMBERLY,25VOORTREKKER  STREET
035-7922291,035-7924140,EMPANGENI STATION,Tuza Mtetwa,ZULULAND,26 Tanner Road
036 - 3523861,036 - 3523062,ESTCOURT,SIPHO NKOSI,NORTHERN NATAL,27 HARDINGSTREET ESTCOURT
036 - 4881382,036 - 4881014,WINTERTON,ARINA HARDING,NORTHERN NATAL,27 SPRINGFIELDROAD WINTERTON
034 - 3660776,034 - 3660081,OSIZWENI,PERCY MNCWANGO,NORTHERN NATAL,2793 MAINSTREET OSIZWENI
023-5411430,023-5411430,Prince Albert,P F Tolken,SOUTH CAPE,28 Church Street Prince Albert
049-892 4661,049-892 2221 /,GRAAFF-REINET,Van Rensburg JW,MIDLANDS,"28 Church Street, Graaff-Reinet, 6280"
051-9730035,051-9730035,Excelsior,-,BETHLEHEM,"28 Commissie Street, Excelsior"
017 - 819 3033,017 - 811 2244,ERMELO,THEMBA SIBANYONI,SECUNDA,28 JAN VAN RIEBEECK STR
018-597 5592,018-5974094,MAKWASSIE,SUSAN JANSE V. VUUREN,VRYBURG,28 PHILLIP STREET
058-8713571,058-8713571,Petrus Steyn,Henriëtte Opperman,BETHLEHEM,"28 Reitz Street, Petrus Steyn"
012-0687,012-3740795,LAUDIUM,JR Ernest,PRETORIA,280 Tangerine Street Lauduim
047-5530557,047-5530035,QUMBU,E.N.LUTI,UMTATA,283 MAIN ST
031-2624764,031-2624764,RESERVOIR HILLS,Marlene Sampson,HIGHWAY,"287 Mountbatten Drive, Reservoir Hills"
053-2051071,053-2051071,KOFFIEFONTEIN,OWEN SEBOTLOANE,KIMBERLY,28GROOT  TREK STREET  KOFFIEFONTEIN
053-5740238,053-5740238,PETRUSBURG,VACANT,KIMBERLY,28MULDER  STREET  PETRUSBURG
018 2643588,018 2642149,VENTERSDORP,NORMAN KOCK,POTCHEFSTROOM,29 CARMICRAL STREET
,044-2412200,De Rust,F M Stols,SOUTH CAPE,29 Schoeman Street De Rust
031-3363601,031-3363603,DURBAN,Suresh Sewchuran,PORT NATAL,"290 West Street, Durban, 4001"
057-3534531,057-3533311,WELKOM,THABO LEPHALO,BLOEMFONTEIN,3 BOK STREET
027 2135504,027 2131100,Vredendal,Johan Jordaan,WEST COAST,3 CENTRAL ST
022 4824478,022 4822422,Malmesbury,Eric Burger,WEST COAST,3 MARKET ST
041-4846577,041-4844553,NOORSEKLOOF,Jacobson D W,PORT ELIZABETH,"3 Parkin Street, North End"
027-8770702,027-8770702,KLEINSEE,Vacant,UPINGTON,3 rd avenue
041-5855701,041-5858345,CENTRAHIL,"Act Mazitshana, I",PORT ELIZABETH,"3 Rink St, Central"
051-5530050,051-5530050,REDDERSBURG,LIDA GERMISHUYS,BLOEMFONTEIN,3 SCHEEPERS STREET
018 4771771,0184771822,MUZIMUHLE,GLADYS PULE,POTCHEFSTROOM,3 SHAFT
041-4527413,041-4522203,ALGOA PARK,Ntoyakhe L V,PORT ELIZABETH,"3 St Leonards Rd, Algoa Park"
044-5330600,044-5331215,Plettenberg Bay,F Jansen,SOUTH CAPE,30 Main Street Plettenberg Bay
014 5532226,014 5532226,MADIKWE,MOSES SELETSWANE,POTCHEFSTROOM,302 LEGAKABE STREET
051-8733030,051-8732332,SELOSESHA,BENNET SEFOTLHELO,BLOEMFONTEIN,3076/77 SELOSEHA
022 7132444,022 7151550,Vredenburg,Llewellyn Visagie,WEST COAST,31 KERK ST
034 - 9952130,034 - 9951089,PAULPIETERSBURG,OTTO VON FINTEL,NORTHERN NATAL,31 KRUGERSTREET PAULPIETERSBURG
047-4870029,047-4870029,NQAMAKWE,P.C. Qwemesha (Acting),EAST LONDON,"32 BLYTH STREET, NQAMAKWE"
034 - 6212336,034 - 6212355,DANNHAUSER,DUMI MASONDO,NORTHERN NATAL,32 NEWCASTLE ROAD DANNHAUSER
041-4852321,041-4850515,KWADWESI,Strydom J.,PORT ELIZABETH,"32 Ziyabuya Shopping Centre, Kwadwesi"
014-7553510,014-7553602,Vaalwater,Hester de Beer,POTGIETERSRUS,325 Sarris Ave
053-3130448,053-3130448,POSTMASBURG,Retha Coetzee,UPINGTON,33 Main road
023-6264620,023-6261002,Robertson,Willie Kotze,OVERERG,33 Van Reenen Street Robertson
031-539 5282,031-539 5283,MOUNT EDGECOMBE,Vera Ngcobo,PORT NATAL,"3333 North Coast Road, Mt. Edgecombe, 4300"
018 2974063,018 2930771,POTCHEFSTROOM,JOJANNES MOFOKENG,POTCHEFSTROOM,35 GREYLING STREET
058-2561300,058-2561300,Clarens,Clement Ross,BETHLEHEM,"35 Hoof Street, Clarens"
045-966 0074,045-966 0074,STERKSTROOM,Beukes L.M,MIDLANDS,"35 John Vorster Centre, Sterkstroom, 5425"
056-5154800,056-5152222,BOTHAVILLE,RICHARD SEPOTOKELE,POTCHEFSTROOM,35 PRESIDENT STREET
031-2666323,031-2661260,WESTVILLE,Quinton Sander,HIGHWAY,"35 Westville Road, Westville"
051-7230010,051-7230010,FAURESMITH,VACANT,KIMBERLY,35VOORTEKKER  STREET  FAURESMITH
056-3432785,056-3432605,VILJOENSKROON,DHLAMINI LA,POTCHEFSTROOM,36 DE NYSSCHEN STREET
032-945 3171,032-944 1227,TONGAAT,Christie Subrayen,PORT NATAL,"366 Old Main Road, Tongaat, 4399"
031-307 5302,031-305 5102,QUALBERT,Thuli Danisa,PORT NATAL,"37 Victoria Street, Durban, 4000"
014-7432834,014-7431551,Naboomspruit,Joseph Maledimo,POTGIETERSRUS,38 4th street
034 - 2122979,034 - 2121145,DUNDEE,ABEL MPUGNOSE,NORTHERN NATAL,38 BEACONSTREET DUNDEE
027 4321008,027 4321008,Lambertsbaai,Rita Kröhn,WEST COAST,38 KERK ST
043-7268667,043-7260408,CAMBRIDGE,M.S. Socutshana,EAST LONDON,38 QUEEN STREET CAMBRIDGE
013-2351522,013-2354081,Lydenburg,Sanet Schleich,NELSPRUIT,38 Voortrekker Street
058-4710677,058-4710351,Paul Roux,Abraham Madlala,BETHLEHEM,"38 Voortrekker Street, Paul Roux"
031-464 1866,031-464 1866,QUEENSBURGH,Phindile Manukuza,PORT NATAL,"386 Main Road, Escombe, 4093"
051-634 1664,051-633 2211,ALIWAL NORTH,Van Jaarsveld I A,MIDLANDS,"39 Grey Street, Aliwal North, 9750"
021-975 3278,021-976 1454,Durbanville,Vacancy,WEST COAST,39 OXFORD ST
053-4560098,053-4560510,JAN KEMPDORP,MOSES SENWEDI,KIMBERLY,3KALAHARI  STREET  JAN KEMPDORP
013-2570007,013-2570007,Watervalboven,Vacant,NELSPRUIT,3rd Avenue 53 Watervalboven
031-7656616,031-7651441,HILLCREST,George Schoeman,HIGHWAY,"4 Nqutu Road,Hillcrest"
056-7771712,056-7771712,Koppies,Petrus Leboko,BETHLEHEM,"40 Kerk Street, Koppies"
022 4331981,022 4331222,Moorresburg,Deon Nel,WEST COAST,40 MAIN STREET
028-5512262,028-5511268,Ladismith,E Jacobs,SOUTH CAPE,40 Riebeeck Street Spar Bld Ladismith
018-571 0342,018-5710012,OTTOSDAL,FANIE BOTHA,VRYBURG,40 VOORTREKKER STREET
031-5723683,031-5723667,GLENSASHLEY,Ben Chiya,PORT NATAL,"41 Newport Avenue, Glenashley, Durban, 4051"
053-963 1062,053-9631007,SCHWEIZER RENEKE,KIKKO VISAGIE,VRYBURG,41 SCHWEITZER STREET
044-923 1661,044-923 1196 /,WILLOWMORE,Pondo A,MIDLANDS,"41 Wemeyer Street, Willowmore, 6445"
058-8810267,058-8810267,Tweeling,Chris Coetzee,BETHLEHEM,"42 Andries Pretorius Street, Tweeling"
017 - 647 1869,017 - 647 5935,BETHAL,DOEPIE DU PLESSIS,SECUNDA,42 MARK STREET
013 - 293 0720,013 - 293 0036,HENDRINA,PRISCA RADEBE,SECUNDA,43 BEUKES STR
053-948 1004,053-9480017,DELAREYVILLE,KGOMOTSO MALETSWA,VRYBURG,43 GOVERNMENT STREET
012-7100049,012-72100023,Majaneng,Vacant,POTGIETERSRUS,4375 Moshate section
021-7974747,021-7977589/797,Lansdowne,Eleanor Christians,PENINSULA,"44 FLAMINGO CRESCENT, LANSDOWNE, 7780"
058-9131001,058-9131001,Vrede,Chris Selepe,BETHLEHEM,"44 Kerk Street, Vrede"
051-6731053,051-6731053,ZASTRON,WILMA OLIVIER,BLOEMFONTEIN,44 REICHENBERG STREET
051-654 0004,051-654 0003,VENTERSTAD,VACANT,MIDLANDS,"445 Tennant Street, Venterstad, 9798"
016 9767298,016 973 1401,SASOLBURG,SOPHY LENKWE,POTCHEFSTROOM,46 FICHARDT STREET
049-836 0331,049-836 0001,JANSENVILLE,Sindelo E,MIDLANDS,"46 Main Road , Jansenville, 6265"
021-859-3115,021-859-3595,Grabouw,Amanda September,OVERERG,46 Main Road Grabouw
028-3130919,028-312-1500,Hermanus,Ingrid Rossouw,OVERERG,46 Main Road Hermanus
058-8531806,058-8522260,Heilbron,Ernest Makheta,BETHLEHEM,"46 Pierce Street, Heilbron"
058-6531105,058-6531105,Kestell,Thekiso Khotle,BETHLEHEM,"46 Van Rensburg Street, Kestell"
044-7521020,044-7521020,Uniondale,M Isaacs,SOUTH CAPE,46 Voortrekkerst Uniondale
012-3480643,012-3481254,GARSFONTEIN,E Selepe,PRETORIA,465 Winnfred Yell Street Garsfontein
031-464 0135,031-464 0135,MALVERN,Rosa Aberdeen,PORT NATAL,"47 Main Road, Malvern 4093"
021-872 9227,021-872 5791,Paarl,Vacancy,WEST COAST,472 MAIN ST
047-8770110,047-8770078,CALA,B.N.JAGGERS,UMTATA,479 UMTATA RD
043-7350917,043-7351290,NAHOON,D.F. Posthumus,EAST LONDON,48 BEACH ROAD NAHOON
013-9351192,013-9324012/11,Bronkhorstbruit,Norman Mabasa,WITBANK,48 Paul Kruger Str.
046-684 0509,046-684 0001,ADELAIDE,Matsha (Ms) P.B,MIDLANDS,"49 A Church Street, Adelaide, 5760"
017 - 861 3034,017 - 861 3034,BREYTEN,EMELDAH VILAKAZI,SECUNDA,49 BREYTENBACH STR
012-3282886,012-3216258,BELLEOMBRE,JS Mathibe,PRETORIA,5 Bazaar Street Belle Ombre
051-9830010,051-9830010,HOBHOUSE,SYLVIA DU PLESSIS,BLOEMFONTEIN,5 MULER STREET
017 - 683 0431,017 - 683 0013,LESLIE,SARAH MASEKO,SECUNDA,5 NORDA STR
015-6324164,015-6325160,CHUNESPOORT,TEBELETT,PIETERSBURG,5 SHOP COMPLEX UNIT A
058-2230215,058-2230215,Fouriesburg,Frank Phantsi,BETHLEHEM,"50 Martin Street, Fouriesburg"
035-7534276,035-7531825,MEER EN SEE,Sipho Khoza,ZULULAND,52 Anglers Rod
039-2540474,039-2540021,MAXESIBENY,H.S.SOSIBO,UMTATA,52 CHURCH ST
039-8341016,039-8342275,IXOPO,Ina van der Merwe,MIDLANDS,"52 Margaret Street, Ixopo, 3276"
041-3605145,041-3607808,LINTON GRANGE,Jonker A.,PORT ELIZABETH,"529 Cape Road, Linton Grange"
012-4601541,012-4609586,MENLOPARK,E Msiza,PRETORIA,53 13th Street Menlopark
031-3373246,031-3371958,EAST END,Ravi Chetty,PORT NATAL,"53 Stanger Street, Durban, 4001"
023-7411092,023-7411092,FRASERBURG,Marie Oberholzer,UPINGTON,54 Voortrekkerstr.
041-5831626,041-5835105,SUMMERSTRAND,Meyer I,PORT ELIZABETH,"55 8th Avenue, Summerstrand"
047-5322804,047-5311869,UMTATA,M.MADUBEDUBE,UMTATA,55 SUTHERLAND ST
015-7816472,015-7811712,PHALABORWA,RIKHOTSO,PIETERSBURG,55 TAMBOTI STREET
012-3791613,012-3791334,Daspoort RPO,Acting MP Du Preez,PRETORIA,550 Moot Street Daspoort
011-836-9320,011-8344995,Fordsburg,Zowitsky JEW,CENTRAL,56 CENTRAL DRIVE FORDSBURG 2092
053-4974610,053-4973422,WARRENTON,RICHARDHALENYANE,KIMBERLY,56UYS  STREET  WARRENTON
018 7714633,018 7715280,FOCHVILLE,SR SMITH,POTCHEFSTROOM,57 CHURCH STREET
031-5641112,031-5648441,DURBAN NORTH,Dean Stevens,PORT NATAL,"57 St Andrews Drive, Durban North4051"
058-6221281,058-6230344,Harrismith,Daniël Masoeu,BETHLEHEM,"57 Stuart Street, Harrismith"
012-8072776,012-8072771,DIE WILGERS,Acting T Magagula,PRETORIA,570 Rossow Street
014 5050206,014-5050206,MODIMOSANA,MP RAPULANE,POTCHEFSTROOM,573 LEGAKABE STREET
034 - 3314400,034 - 3313551,UTRECHT,HANNELIE VAN WYK,NORTHERN NATAL,58 VOORSTREET UTRECHT
021-856-1694,021-856-1283,Gordonsbaai,John Adams,OVERERG,59 Beach Road Gordon's Bay
033-4171520,033-4131628,GREYTOWN,Brian Nairn,MIDLANDS,"59 Bell Street, Greytown, 3250"
033-3872933,033-3871781,LUXMI,Themba Mkhize,MIDLANDS,"594 Old Greytown Rd, Raisethorpe, Pmb, 3201"
